วันที่เกิดเหตุ,จังหวัด,จำนวนอุบัติเหตุ
2024-01-04,หนองบัวลำภู,0
2024-01-04,สระบุรี,5
2024-01-04,อยุธยา,4
2024-01-04,พังงา,3
2024-01-04,อุดรธานี,2
2024-01-04,ลพบุรี,2
2024-01-04,สมุทรสงคราม,1
2024-01-04,ระนอง,1
2024-01-04,ยะลา,3
2024-01-04,นราธิวาส,1
2024-01-04,ชัยภูมิ,0
2024-01-04,แม่ฮ่องสอน,0
2024-01-04,อำนาจเจริญ,0
2024-01-04,แพร่,2
2024-01-04,เพชรบูรณ์,4
2024-01-04,เชียงใหม่,5
2024-01-04,เชียงราย,4
2024-01-04,อ่างทอง,3
2024-01-04,อุบลราชธานี,0
2024-01-04,อุทัยธานี,2
2024-01-04,อุตรดิตถ์,1
2024-01-04,เลย,2
2024-01-04,เพชรบุรี,0
2024-01-04,ร้อยเอ็ด,5
2024-01-04,ระยอง,1
2024-01-04,นครปฐม,1
2024-01-04,นครนายก,0
2024-01-04,ตาก,1
2024-01-04,ตราด,3
2024-01-04,ตรัง,1
2024-01-04,ชุมพร,1
2024-01-04,ชลบุรี,8
2024-01-04,นครพนม,1
2024-01-04,ฉะเชิงเทรา,0
2024-01-04,ขอนแก่น,1
2024-01-04,กำแพงเพชร,1
2024-01-04,กาฬสินธุ์,0
2024-01-04,กาญจนบุรี,2
2024-01-04,กรุงเทพมหานคร,6
2024-01-04,กระบี่,2
2024-01-04,ราชบุรี,1
2024-01-04,จันทบุรี,3
2024-01-04,นครราชสีมา,2
2024-01-04,ชัยนาท,4
2024-01-04,นครสวรรค์,3
2024-01-04,นครศรีธรรมราช,4
2024-01-04,มุกดาหาร,0
2024-01-04,มหาสารคาม,2
2024-01-04,ภูเก็ต,3
2024-01-04,พิษณุโลก,2
2024-01-04,พิจิตร,0
2024-01-04,พัทลุง,4
2024-01-04,พะเยา,2
2024-01-04,ยโสธร,1
2024-01-04,ปราจีนบุรี,0
2024-01-04,ประจวบคีรีขันธ์,2
2024-01-04,ปทุมธานี,3
2024-01-04,บุรีรัมย์,0
2024-01-04,บึงกาฬ,0
2024-01-04,น่าน,1
2024-01-04,นนทบุรี,1
2024-01-04,ปัตตานี,3
2024-01-05,หนองคาย,0
2024-01-05,สุโขทัย,0
2024-01-05,สุรินทร์,1
2024-01-05,สุราษฎร์ธานี,2
2024-01-05,สุพรรณบุรี,1
2024-01-05,สิงห์บุรี,0
2024-01-05,สระแก้ว,1
2024-01-05,สระบุรี,0
2024-01-05,สงขลา,0
2024-01-05,สมุทรปราการ,2
2024-01-05,สตูล,1
2024-01-05,สกลนคร,1
2024-01-05,ศรีสะเกษ,1
2024-01-05,ลำพูน,0
2024-01-05,ลำปาง,1
2024-01-05,หนองบัวลำภู,2
2024-01-05,สมุทรสาคร,1
2024-01-05,อำนาจเจริญ,0
2024-01-05,ลพบุรี,1
2024-01-05,อุตรดิตถ์,2
2024-01-05,พังงา,0
2024-01-05,สมุทรสงคราม,0
2024-01-05,ระนอง,0
2024-01-05,ยะลา,1
2024-01-05,นราธิวาส,0
2024-01-05,ชัยภูมิ,0
2024-01-05,แม่ฮ่องสอน,1
2024-01-05,อุดรธานี,0
2024-01-05,แพร่,2
2024-01-05,เพชรบูรณ์,2
2024-01-05,เพชรบุรี,0
2024-01-05,เชียงใหม่,2
2024-01-05,เชียงราย,3
2024-01-05,อ่างทอง,0
2024-01-05,อุบลราชธานี,0
2024-01-05,อุทัยธานี,0
2024-01-05,เลย,1
2024-01-05,ร้อยเอ็ด,0
2024-01-05,อยุธยา,0
2024-01-05,ระยอง,2
2024-01-05,นครพนม,0
2024-01-05,นครปฐม,0
2024-01-05,นครนายก,0
2024-01-05,ตาก,1
2024-01-05,ตราด,0
2024-01-05,ตรัง,0
2024-01-05,ชุมพร,1
2024-01-05,นครราชสีมา,1
2024-01-05,ชัยนาท,0
2024-01-05,ฉะเชิงเทรา,1
2024-01-05,จันทบุรี,2
2024-01-05,ขอนแก่น,0
2024-01-05,กำแพงเพชร,1
2024-01-05,กาฬสินธุ์,0
2024-01-05,กาญจนบุรี,1
2024-01-05,กรุงเทพมหานคร,8
2024-01-05,ชลบุรี,1
2024-01-05,นครศรีธรรมราช,3
2024-01-05,กระบี่,0
2024-01-05,นครสวรรค์,1
2024-01-05,ยโสธร,2
2024-01-05,มุกดาหาร,0
2024-01-05,มหาสารคาม,0
2024-01-05,ภูเก็ต,1
2024-01-05,ราชบุรี,0
2024-01-05,พิจิตร,0
2024-01-05,พัทลุง,0
2024-01-05,พะเยา,0
2024-01-05,พิษณุโลก,0
2024-01-05,ปราจีนบุรี,1
2024-01-05,ประจวบคีรีขันธ์,0
2024-01-05,ปทุมธานี,2
2024-01-05,บุรีรัมย์,0
2024-01-05,บึงกาฬ,1
2024-01-05,น่าน,1
2024-01-05,นนทบุรี,0
2024-01-05,ปัตตานี,0
